"Notes","Year","Year Code","Census Division of Residence","Census Division of Residence Code","Age of Mother 9","Age of Mother 9 Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Births,Average Number of Prenatal Visits
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","No prenatal care","00",28,0.00
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","1st month","01",55,12.19
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","2nd month","02",624,12.11
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","3rd month","03",785,11.20
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","4th month","04",298,10.21
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","5th month","05",142,9.02
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","6th month","06",116,8.64
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","7th month","07",85,6.47
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","8th month","08",83,4.90
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","9th month","09",35,2.71
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","Unknown or Not Stated","99",25,8.71
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","No prenatal care","00",12,0.00
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","1st month","01",12,10.18
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","2nd month","02",158,11.89
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","3rd month","03",212,11.53
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","4th month","04",82,10.22
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","5th month","05",29,9.31
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","6th month","06",32,8.71
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","7th month","07",20,7.35
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","8th month","08",16,4.56
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Self Pay","3","5th month","05",10,9.10
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","2nd month","02",21,11.95
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","3rd month","03",26,9.58
,"2022","2022","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","4th month","04",10,9.50
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","No prenatal care","00",85,0.00
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","1st month","01",270,12.61
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","2nd month","02",3154,12.35
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","3rd month","03",3661,11.40
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","4th month","04",1039,10.17
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","5th month","05",540,9.14
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","6th month","06",348,8.20
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","7th month","07",289,7.14
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","8th month","08",183,5.24
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","9th month","09",102,3.48
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","Unknown or Not Stated","99",88,9.86
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","No prenatal care","00",29,0.00
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","1st month","01",120,11.59
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","2nd month","02",1711,12.47
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","3rd month","03",1901,11.87
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","4th month","04",416,10.59
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","5th month","05",152,9.90
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","6th month","06",94,8.11
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","7th month","07",88,7.11
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","8th month","08",49,5.22
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","9th month","09",22,3.09
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","Unknown or Not Stated","99",47,11.32
