"Notes","Year","Year Code","Census Division of Residence","Census Division of Residence Code","Age of Mother 9","Age of Mother 9 Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Births,Average Number of Prenatal Visits
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","No prenatal care","00",14,0.00
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","2nd month","02",59,11.64
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","3rd month","03",103,11.41
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","4th month","04",51,9.84
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","5th month","05",26,7.85
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","6th month","06",19,7.53
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","7th month","07",19,6.58
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","8th month","08",12,5.92
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","9th month","09",10,3.20
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Self Pay","3","Unknown or Not Stated","99",10,3.00
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","1st month","01",17,11.41
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","2nd month","02",173,12.18
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","3rd month","03",212,11.01
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","4th month","04",70,10.00
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","5th month","05",35,9.26
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","6th month","06",15,7.87
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","7th month","07",16,7.69
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Other","4","8th month","08",16,4.06
,"2022","2022","Division 1: New England","CENS-D1","20-24 years","20-24","Unknown or Not Stated","9","2nd month","02",21,9.52
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","No prenatal care","00",116,0.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","1st month","01",396,12.62
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","2nd month","02",4799,12.39
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","3rd month","03",5598,11.41
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","4th month","04",1329,10.34
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","5th month","05",677,9.39
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","6th month","06",414,8.23
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","7th month","07",358,6.96
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","8th month","08",280,5.14
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","9th month","09",129,3.23
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Medicaid","1","Unknown or Not Stated","99",152,9.96
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","No prenatal care","00",51,0.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","1st month","01",532,11.90
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","2nd month","02",7206,12.64
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","3rd month","03",6852,11.90
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","4th month","04",876,10.76
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","5th month","05",390,9.73
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","6th month","06",225,8.84
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","7th month","07",210,7.42
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","8th month","08",146,5.53
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","9th month","09",51,3.92
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Private Insurance","2","Unknown or Not Stated","99",137,11.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","No prenatal care","00",34,0.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","2nd month","02",121,12.07
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","3rd month","03",228,11.57
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","4th month","04",81,10.37
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","5th month","05",47,8.13
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","6th month","06",23,7.65
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","7th month","07",19,6.37
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","8th month","08",25,4.56
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","9th month","09",12,3.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Self Pay","3","Unknown or Not Stated","99",15,11.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","No prenatal care","00",11,0.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","1st month","01",40,9.78
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","2nd month","02",415,12.32
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","3rd month","03",450,11.69
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","4th month","04",114,10.80
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","5th month","05",39,9.44
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","6th month","06",29,9.10
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","7th month","07",24,6.46
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Other","4","8th month","08",22,5.23
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Unknown or Not Stated","9","No prenatal care","00",10,0.00
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Unknown or Not Stated","9","2nd month","02",23,12.70
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Unknown or Not Stated","9","3rd month","03",23,11.74
,"2022","2022","Division 1: New England","CENS-D1","25-29 years","25-29","Unknown or Not Stated","9","Unknown or Not Stated","99",33,Not Applicable
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","No prenatal care","00",141,0.00
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","1st month","01",301,11.56
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","2nd month","02",4131,12.38
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","3rd month","03",5019,11.51
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","4th month","04",1271,10.15
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","5th month","05",664,8.94
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","6th month","06",387,8.12
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","7th month","07",318,7.06
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","8th month","08",251,5.41
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","9th month","09",121,3.75
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Medicaid","1","Unknown or Not Stated","99",151,10.25
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","No prenatal care","00",83,0.00
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","1st month","01",1180,11.87
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","2nd month","02",17110,12.60
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","3rd month","03",16108,11.93
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","4th month","04",1744,10.80
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","5th month","05",631,9.81
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","6th month","06",456,8.71
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","7th month","07",368,7.67
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","8th month","08",233,5.67
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","9th month","09",75,4.24
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Private Insurance","2","Unknown or Not Stated","99",302,12.14
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","No prenatal care","00",21,0.00
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","1st month","01",12,10.83
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","2nd month","02",185,12.04
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","3rd month","03",265,11.63
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","4th month","04",104,10.70
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","5th month","05",45,8.69
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","6th month","06",22,7.77
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","7th month","07",22,7.23
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","8th month","08",34,5.03
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","9th month","09",14,2.43
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Self Pay","3","Unknown or Not Stated","99",22,10.25
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","No prenatal care","00",11,0.00
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","1st month","01",52,12.78
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","2nd month","02",456,12.31
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","3rd month","03",485,11.78
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","4th month","04",99,10.02
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","5th month","05",52,8.94
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","6th month","06",31,7.81
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","7th month","07",32,7.31
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","8th month","08",18,6.39
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Other","4","9th month","09",15,3.33
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Unknown or Not Stated","9","2nd month","02",37,11.30
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Unknown or Not Stated","9","3rd month","03",38,12.22
,"2022","2022","Division 1: New England","CENS-D1","30-34 years","30-34","Unknown or Not Stated","9","Unknown or Not Stated","99",64,Not Applicable
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","No prenatal care","00",83,0.00
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","1st month","01",161,11.48
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","2nd month","02",2045,12.42
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","3rd month","03",2818,11.50
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","4th month","04",751,10.27
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","5th month","05",415,9.15
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","6th month","06",236,8.28
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","7th month","07",172,6.94
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","8th month","08",156,4.88
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","9th month","09",61,2.95
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Medicaid","1","Unknown or Not Stated","99",91,10.23
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","No prenatal care","00",77,0.00
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","1st month","01",753,11.48
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","2nd month","02",10013,12.44
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","3rd month","03",10481,11.78
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","4th month","04",1126,10.72
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","5th month","05",387,9.63
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","6th month","06",264,8.80
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","7th month","07",251,7.63
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","8th month","08",176,5.66
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","9th month","09",34,4.88
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Private Insurance","2","Unknown or Not Stated","99",172,11.12
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","No prenatal care","00",12,0.00
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","1st month","01",10,11.20
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","2nd month","02",100,12.42
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","3rd month","03",196,11.66
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","4th month","04",66,10.55
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","5th month","05",39,9.05
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","6th month","06",25,8.78
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","7th month","07",16,6.31
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","8th month","08",15,5.07
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Self Pay","3","Unknown or Not Stated","99",23,10.00
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","1st month","01",28,11.04
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","2nd month","02",193,12.11
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","3rd month","03",276,11.67
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","4th month","04",51,10.42
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","5th month","05",21,9.48
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","6th month","06",13,8.46
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","7th month","07",13,7.83
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Other","4","8th month","08",11,4.55
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Unknown or Not Stated","9","2nd month","02",23,11.26
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Unknown or Not Stated","9","3rd month","03",24,11.39
,"2022","2022","Division 1: New England","CENS-D1","35-39 years","35-39","Unknown or Not Stated","9","Unknown or Not Stated","99",60,Not Applicable
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","No prenatal care","00",22,0.00
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","1st month","01",41,11.00
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","2nd month","02",470,12.63
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","3rd month","03",753,11.15
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","4th month","04",222,10.88
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","5th month","05",122,9.15
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","6th month","06",68,8.13
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","7th month","07",48,7.50
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","8th month","08",33,5.44
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","9th month","09",20,2.55
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Medicaid","1","Unknown or Not Stated","99",27,9.33
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","1st month","01",133,11.11
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","2nd month","02",1620,12.61
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","3rd month","03",2294,11.91
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","4th month","04",264,10.63
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","5th month","05",111,9.66
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","6th month","06",64,9.38
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","7th month","07",47,7.34
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","8th month","08",28,5.11
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Private Insurance","2","Unknown or Not Stated","99",36,12.60
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Self Pay","3","2nd month","02",21,12.05
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Self Pay","3","3rd month","03",52,12.02
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Self Pay","3","4th month","04",24,10.33
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Self Pay","3","6th month","06",13,8.15
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Other","4","2nd month","02",44,11.93
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Other","4","3rd month","03",65,11.58
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Other","4","4th month","04",12,8.91
,"2022","2022","Division 1: New England","CENS-D1","40-44 years","40-44","Unknown or Not Stated","9","Unknown or Not Stated","99",12,Not Applicable
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Medicaid","1","2nd month","02",18,10.83
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Medicaid","1","3rd month","03",43,11.48
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Medicaid","1","4th month","04",14,11.43
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Private Insurance","2","1st month","01",10,9.50
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Private Insurance","2","2nd month","02",105,12.48
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Private Insurance","2","3rd month","03",172,11.80
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Private Insurance","2","4th month","04",25,10.67
,"2022","2022","Division 1: New England","CENS-D1","45-49 years","45-49","Private Insurance","2","5th month","05",12,8.67
,"2022","2022","Division 1: New England","CENS-D1","50 years and over","50+","Private Insurance","2","2nd month","02",12,11.50
,"2022","2022","Division 1: New England","CENS-D1","50 years and over","50+","Private Insurance","2","3rd month","03",26,11.73
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","No prenatal care","00",16,0.00
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","2nd month","02",11,11.36
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","3rd month","03",28,9.71
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","4th month","04",17,8.71
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","5th month","05",13,9.85
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","6th month","06",17,7.71
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","Under 15 years","15","Medicaid","1","7th month","07",12,5.92
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","No prenatal care","00",294,0.00
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","1st month","01",179,12.28
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","2nd month","02",2023,11.81
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","3rd month","03",2537,10.86
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","4th month","04",1186,9.45
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","5th month","05",767,8.45
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","6th month","06",513,7.39
,"2022","2022","Division 2: Middle Atlantic","CENS-D2","15-19 years","15-19","Medicaid","1","7th month","07",449,6.10
