"Notes","Year","Year Code","State of Residence","State of Residence Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Delivery Method","Delivery Method Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","Medicaid","1","Vaginal","1","At least one checked","0",178
,"2019","2019","Alabama","01","Medicaid","1","Vaginal","1","None checked","1",19167
,"2019","2019","Alabama","01","Medicaid","1","Cesarean","2","At least one checked","0",117
,"2019","2019","Alabama","01","Medicaid","1","Cesarean","2","None checked","1",9671
,"2019","2019","Alabama","01","Private Insurance","2","Vaginal","1","At least one checked","0",208
,"2019","2019","Alabama","01","Private Insurance","2","Vaginal","1","None checked","1",16389
,"2019","2019","Alabama","01","Private Insurance","2","Cesarean","2","At least one checked","0",93
,"2019","2019","Alabama","01","Private Insurance","2","Cesarean","2","None checked","1",9493
,"2019","2019","Alabama","01","Self Pay","3","Vaginal","1","None checked","1",975
,"2019","2019","Alabama","01","Self Pay","3","Cesarean","2","None checked","1",306
,"2019","2019","Alabama","01","Other","4","Vaginal","1","At least one checked","0",12
,"2019","2019","Alabama","01","Other","4","Vaginal","1","None checked","1",1356
,"2019","2019","Alabama","01","Other","4","Cesarean","2","None checked","1",571
,"2019","2019","Alabama","01","Unknown or Not Stated","9","Vaginal","1","None checked","1",43
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","At least one checked","0",63
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","None checked","1",2923
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",29
,"2019","2019","Alaska","02","Medicaid","1","Cesarean","2","At least one checked","0",17
,"2019","2019","Alaska","02","Medicaid","1","Cesarean","2","None checked","1",722
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","At least one checked","0",76
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","None checked","1",2508
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",15
,"2019","2019","Alaska","02","Private Insurance","2","Cesarean","2","At least one checked","0",14
,"2019","2019","Alaska","02","Private Insurance","2","Cesarean","2","None checked","1",859
,"2019","2019","Alaska","02","Self Pay","3","Vaginal","1","None checked","1",266
,"2019","2019","Alaska","02","Self Pay","3","Cesarean","2","None checked","1",72
,"2019","2019","Alaska","02","Other","4","Vaginal","1","At least one checked","0",45
,"2019","2019","Alaska","02","Other","4","Vaginal","1","None checked","1",1635
,"2019","2019","Alaska","02","Other","4","Vaginal","1","Unknown or Not Stated","9",18
,"2019","2019","Alaska","02","Other","4","Cesarean","2","At least one checked","0",12
,"2019","2019","Alaska","02","Other","4","Cesarean","2","None checked","1",401
,"2019","2019","Alaska","02","Unknown or Not Stated","9","Vaginal","1","None checked","1",100
,"2019","2019","Alaska","02","Unknown or Not Stated","9","Cesarean","2","None checked","1",12
,"2019","2019","Arizona","04","Medicaid","1","Vaginal","1","At least one checked","0",271
,"2019","2019","Arizona","04","Medicaid","1","Vaginal","1","None checked","1",28118
,"2019","2019","Arizona","04","Medicaid","1","Cesarean","2","At least one checked","0",216
,"2019","2019","Arizona","04","Medicaid","1","Cesarean","2","None checked","1",10243
,"2019","2019","Arizona","04","Private Insurance","2","Vaginal","1","At least one checked","0",255
,"2019","2019","Arizona","04","Private Insurance","2","Vaginal","1","None checked","1",22943
,"2019","2019","Arizona","04","Private Insurance","2","Cesarean","2","At least one checked","0",106
,"2019","2019","Arizona","04","Private Insurance","2","Cesarean","2","None checked","1",9725
,"2019","2019","Arizona","04","Self Pay","3","Vaginal","1","At least one checked","0",42
,"2019","2019","Arizona","04","Self Pay","3","Vaginal","1","None checked","1",2563
,"2019","2019","Arizona","04","Self Pay","3","Cesarean","2","None checked","1",617
,"2019","2019","Arizona","04","Other","4","Vaginal","1","At least one checked","0",63
,"2019","2019","Arizona","04","Other","4","Vaginal","1","None checked","1",2941
,"2019","2019","Arizona","04","Other","4","Cesarean","2","At least one checked","0",47
,"2019","2019","Arizona","04","Other","4","Cesarean","2","None checked","1",1033
,"2019","2019","Arizona","04","Unknown or Not Stated","9","Vaginal","1","None checked","1",132
,"2019","2019","Arizona","04","Unknown or Not Stated","9","Cesarean","2","None checked","1",43
,"2019","2019","Arkansas","05","Medicaid","1","Vaginal","1","At least one checked","0",99
,"2019","2019","Arkansas","05","Medicaid","1","Vaginal","1","None checked","1",10969
,"2019","2019","Arkansas","05","Medicaid","1","Cesarean","2","At least one checked","0",57
,"2019","2019","Arkansas","05","Medicaid","1","Cesarean","2","None checked","1",5466
,"2019","2019","Arkansas","05","Private Insurance","2","Vaginal","1","At least one checked","0",183
,"2019","2019","Arkansas","05","Private Insurance","2","Vaginal","1","None checked","1",11219
,"2019","2019","Arkansas","05","Private Insurance","2","Cesarean","2","At least one checked","0",57
,"2019","2019","Arkansas","05","Private Insurance","2","Cesarean","2","None checked","1",6451
,"2019","2019","Arkansas","05","Self Pay","3","Vaginal","1","At least one checked","0",11
,"2019","2019","Arkansas","05","Self Pay","3","Vaginal","1","None checked","1",990
,"2019","2019","Arkansas","05","Self Pay","3","Cesarean","2","None checked","1",305
,"2019","2019","Arkansas","05","Other","4","Vaginal","1","None checked","1",256
,"2019","2019","Arkansas","05","Other","4","Cesarean","2","None checked","1",130
,"2019","2019","Arkansas","05","Unknown or Not Stated","9","Vaginal","1","None checked","1",221
,"2019","2019","Arkansas","05","Unknown or Not Stated","9","Cesarean","2","None checked","1",128
,"2019","2019","California","06","Medicaid","1","Vaginal","1","At least one checked","0",808
,"2019","2019","California","06","Medicaid","1","Vaginal","1","None checked","1",122694
,"2019","2019","California","06","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",94
,"2019","2019","California","06","Medicaid","1","Cesarean","2","At least one checked","0",540
,"2019","2019","California","06","Medicaid","1","Cesarean","2","None checked","1",54797
,"2019","2019","California","06","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",21
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","At least one checked","0",2558
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","None checked","1",154966
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",78
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","At least one checked","0",553
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","None checked","1",70023
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",18
,"2019","2019","California","06","Self Pay","3","Vaginal","1","At least one checked","0",80
,"2019","2019","California","06","Self Pay","3","Vaginal","1","None checked","1",11165
,"2019","2019","California","06","Self Pay","3","Vaginal","1","Unknown or Not Stated","9",398
,"2019","2019","California","06","Self Pay","3","Cesarean","2","At least one checked","0",25
,"2019","2019","California","06","Self Pay","3","Cesarean","2","None checked","1",4651
,"2019","2019","California","06","Other","4","Vaginal","1","At least one checked","0",330
,"2019","2019","California","06","Other","4","Vaginal","1","None checked","1",15466
,"2019","2019","California","06","Other","4","Vaginal","1","Unknown or Not Stated","9",13
,"2019","2019","California","06","Other","4","Cesarean","2","At least one checked","0",71
,"2019","2019","California","06","Other","4","Cesarean","2","None checked","1",6441
,"2019","2019","California","06","Unknown or Not Stated","9","Vaginal","1","None checked","1",447
,"2019","2019","California","06","Unknown or Not Stated","9","Vaginal","1","Unknown or Not Stated","9",35
,"2019","2019","California","06","Unknown or Not Stated","9","Cesarean","2","None checked","1",179
,"2019","2019","Colorado","08","Medicaid","1","Vaginal","1","At least one checked","0",235
,"2019","2019","Colorado","08","Medicaid","1","Vaginal","1","None checked","1",17323
,"2019","2019","Colorado","08","Medicaid","1","Cesarean","2","At least one checked","0",93
,"2019","2019","Colorado","08","Medicaid","1","Cesarean","2","None checked","1",5781
,"2019","2019","Colorado","08","Private Insurance","2","Vaginal","1","At least one checked","0",343
,"2019","2019","Colorado","08","Private Insurance","2","Vaginal","1","None checked","1",23417
,"2019","2019","Colorado","08","Private Insurance","2","Cesarean","2","At least one checked","0",88
,"2019","2019","Colorado","08","Private Insurance","2","Cesarean","2","None checked","1",9333
,"2019","2019","Colorado","08","Self Pay","3","Vaginal","1","At least one checked","0",24
,"2019","2019","Colorado","08","Self Pay","3","Vaginal","1","None checked","1",1853
,"2019","2019","Colorado","08","Self Pay","3","Cesarean","2","At least one checked","0",10
,"2019","2019","Colorado","08","Self Pay","3","Cesarean","2","None checked","1",444
,"2019","2019","Colorado","08","Other","4","Vaginal","1","At least one checked","0",39
,"2019","2019","Colorado","08","Other","4","Vaginal","1","None checked","1",2563
,"2019","2019","Colorado","08","Other","4","Cesarean","2","None checked","1",979
,"2019","2019","Colorado","08","Unknown or Not Stated","9","Vaginal","1","None checked","1",235
,"2019","2019","Colorado","08","Unknown or Not Stated","9","Cesarean","2","None checked","1",88
,"2019","2019","Connecticut","09","Medicaid","1","Vaginal","1","At least one checked","0",97
,"2019","2019","Connecticut","09","Medicaid","1","Vaginal","1","None checked","1",8300
,"2019","2019","Connecticut","09","Medicaid","1","Cesarean","2","At least one checked","0",56
,"2019","2019","Connecticut","09","Medicaid","1","Cesarean","2","None checked","1",4270
,"2019","2019","Connecticut","09","Private Insurance","2","Vaginal","1","At least one checked","0",242
,"2019","2019","Connecticut","09","Private Insurance","2","Vaginal","1","None checked","1",12198
,"2019","2019","Connecticut","09","Private Insurance","2","Cesarean","2","At least one checked","0",69
,"2019","2019","Connecticut","09","Private Insurance","2","Cesarean","2","None checked","1",6806
,"2019","2019","Connecticut","09","Self Pay","3","Vaginal","1","At least one checked","0",16
,"2019","2019","Connecticut","09","Self Pay","3","Vaginal","1","None checked","1",1107
,"2019","2019","Connecticut","09","Self Pay","3","Cesarean","2","None checked","1",476
,"2019","2019","Connecticut","09","Other","4","Vaginal","1","None checked","1",391
,"2019","2019","Connecticut","09","Other","4","Cesarean","2","None checked","1",164
,"2019","2019","Connecticut","09","Unknown or Not Stated","9","Vaginal","1","None checked","1",11
,"2019","2019","Delaware","10","Medicaid","1","Vaginal","1","At least one checked","0",55
,"2019","2019","Delaware","10","Medicaid","1","Vaginal","1","None checked","1",3086
,"2019","2019","Delaware","10","Medicaid","1","Cesarean","2","At least one checked","0",30
,"2019","2019","Delaware","10","Medicaid","1","Cesarean","2","None checked","1",1377
,"2019","2019","Delaware","10","Private Insurance","2","Vaginal","1","At least one checked","0",101
,"2019","2019","Delaware","10","Private Insurance","2","Vaginal","1","None checked","1",3537
,"2019","2019","Delaware","10","Private Insurance","2","Cesarean","2","At least one checked","0",27
,"2019","2019","Delaware","10","Private Insurance","2","Cesarean","2","None checked","1",1739
,"2019","2019","Delaware","10","Self Pay","3","Vaginal","1","None checked","1",151
,"2019","2019","Delaware","10","Self Pay","3","Cesarean","2","None checked","1",46
,"2019","2019","Delaware","10","Other","4","Vaginal","1","None checked","1",271
,"2019","2019","Delaware","10","Other","4","Cesarean","2","None checked","1",95
,"2019","2019","Delaware","10","Unknown or Not Stated","9","Vaginal","1","None checked","1",13
,"2019","2019","District of Columbia","11","Medicaid","1","Vaginal","1","At least one checked","0",23
,"2019","2019","District of Columbia","11","Medicaid","1","Vaginal","1","None checked","1",2876
,"2019","2019","District of Columbia","11","Medicaid","1","Cesarean","2","At least one checked","0",18
,"2019","2019","District of Columbia","11","Medicaid","1","Cesarean","2","None checked","1",1312
,"2019","2019","District of Columbia","11","Private Insurance","2","Vaginal","1","At least one checked","0",95
,"2019","2019","District of Columbia","11","Private Insurance","2","Vaginal","1","None checked","1",2984
,"2019","2019","District of Columbia","11","Private Insurance","2","Cesarean","2","At least one checked","0",16
,"2019","2019","District of Columbia","11","Private Insurance","2","Cesarean","2","None checked","1",1470
,"2019","2019","District of Columbia","11","Self Pay","3","Vaginal","1","None checked","1",39
,"2019","2019","District of Columbia","11","Self Pay","3","Cesarean","2","None checked","1",23
,"2019","2019","District of Columbia","11","Other","4","Vaginal","1","None checked","1",137
,"2019","2019","District of Columbia","11","Other","4","Cesarean","2","None checked","1",55
,"2019","2019","District of Columbia","11","Unknown or Not Stated","9","Vaginal","1","None checked","1",18
,"2019","2019","Florida","12","Medicaid","1","Vaginal","1","At least one checked","0",404
,"2019","2019","Florida","12","Medicaid","1","Vaginal","1","None checked","1",65337
,"2019","2019","Florida","12","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",97
,"2019","2019","Florida","12","Medicaid","1","Cesarean","2","At least one checked","0",266
,"2019","2019","Florida","12","Medicaid","1","Cesarean","2","None checked","1",36403
,"2019","2019","Florida","12","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",26
,"2019","2019","Florida","12","Medicaid","1","Unknown or Not Stated","9","None checked","1",44
,"2019","2019","Florida","12","Private Insurance","2","Vaginal","1","At least one checked","0",608
,"2019","2019","Florida","12","Private Insurance","2","Vaginal","1","None checked","1",58449
,"2019","2019","Florida","12","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",85
,"2019","2019","Florida","12","Private Insurance","2","Cesarean","2","At least one checked","0",204
,"2019","2019","Florida","12","Private Insurance","2","Cesarean","2","None checked","1",36665
,"2019","2019","Florida","12","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",28
,"2019","2019","Florida","12","Private Insurance","2","Unknown or Not Stated","9","None checked","1",54
,"2019","2019","Florida","12","Self Pay","3","Vaginal","1","At least one checked","0",61
,"2019","2019","Florida","12","Self Pay","3","Vaginal","1","None checked","1",9166
,"2019","2019","Florida","12","Self Pay","3","Vaginal","1","Unknown or Not Stated","9",10
,"2019","2019","Florida","12","Self Pay","3","Cesarean","2","At least one checked","0",21
,"2019","2019","Florida","12","Self Pay","3","Cesarean","2","None checked","1",4248
,"2019","2019","Florida","12","Self Pay","3","Unknown or Not Stated","9","None checked","1",16
,"2019","2019","Florida","12","Other","4","Vaginal","1","At least one checked","0",47
,"2019","2019","Florida","12","Other","4","Vaginal","1","None checked","1",4524
,"2019","2019","Florida","12","Other","4","Cesarean","2","At least one checked","0",23
,"2019","2019","Florida","12","Other","4","Cesarean","2","None checked","1",2127
,"2019","2019","Florida","12","Other","4","Unknown or Not Stated","9","None checked","1",16
,"2019","2019","Florida","12","Unknown or Not Stated","9","Vaginal","1","None checked","1",688
,"2019","2019","Florida","12","Unknown or Not Stated","9","Vaginal","1","Unknown or Not Stated","9",48
,"2019","2019","Florida","12","Unknown or Not Stated","9","Cesarean","2","None checked","1",302
,"2019","2019","Georgia","13","Medicaid","1","Vaginal","1","At least one checked","0",409
,"2019","2019","Georgia","13","Medicaid","1","Vaginal","1","None checked","1",38136
,"2019","2019","Georgia","13","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",63
,"2019","2019","Georgia","13","Medicaid","1","Cesarean","2","At least one checked","0",216
,"2019","2019","Georgia","13","Medicaid","1","Cesarean","2","None checked","1",19632
,"2019","2019","Georgia","13","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",34
,"2019","2019","Georgia","13","Medicaid","1","Unknown or Not Stated","9","None checked","1",43
,"2019","2019","Georgia","13","Private Insurance","2","Vaginal","1","At least one checked","0",423
,"2019","2019","Georgia","13","Private Insurance","2","Vaginal","1","None checked","1",31430
,"2019","2019","Georgia","13","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",37
,"2019","2019","Georgia","13","Private Insurance","2","Cesarean","2","At least one checked","0",138
,"2019","2019","Georgia","13","Private Insurance","2","Cesarean","2","None checked","1",18250
,"2019","2019","Georgia","13","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",17
,"2019","2019","Georgia","13","Private Insurance","2","Unknown or Not Stated","9","None checked","1",34
,"2019","2019","Georgia","13","Self Pay","3","Vaginal","1","At least one checked","0",73
,"2019","2019","Georgia","13","Self Pay","3","Vaginal","1","None checked","1",5998
,"2019","2019","Georgia","13","Self Pay","3","Cesarean","2","At least one checked","0",33
,"2019","2019","Georgia","13","Self Pay","3","Cesarean","2","None checked","1",2400
,"2019","2019","Georgia","13","Other","4","Vaginal","1","At least one checked","0",51
,"2019","2019","Georgia","13","Other","4","Vaginal","1","None checked","1",6161
,"2019","2019","Georgia","13","Other","4","Vaginal","1","Unknown or Not Stated","9",12
,"2019","2019","Georgia","13","Other","4","Cesarean","2","At least one checked","0",34
,"2019","2019","Georgia","13","Other","4","Cesarean","2","None checked","1",2574
,"2019","2019","Georgia","13","Unknown or Not Stated","9","Vaginal","1","None checked","1",88
,"2019","2019","Georgia","13","Unknown or Not Stated","9","Cesarean","2","None checked","1",28
,"2019","2019","Hawaii","15","Medicaid","1","Vaginal","1","At least one checked","0",12
,"2019","2019","Hawaii","15","Medicaid","1","Vaginal","1","None checked","1",4243
,"2019","2019","Hawaii","15","Medicaid","1","Cesarean","2","None checked","1",1473
,"2019","2019","Hawaii","15","Private Insurance","2","Vaginal","1","At least one checked","0",34
,"2019","2019","Hawaii","15","Private Insurance","2","Vaginal","1","None checked","1",4740
,"2019","2019","Hawaii","15","Private Insurance","2","Cesarean","2","At least one checked","0",12
,"2019","2019","Hawaii","15","Private Insurance","2","Cesarean","2","None checked","1",1946
,"2019","2019","Hawaii","15","Self Pay","3","Vaginal","1","None checked","1",433
,"2019","2019","Hawaii","15","Self Pay","3","Cesarean","2","None checked","1",69
,"2019","2019","Hawaii","15","Other","4","Vaginal","1","At least one checked","0",41
,"2019","2019","Hawaii","15","Other","4","Vaginal","1","None checked","1",2773
,"2019","2019","Hawaii","15","Other","4","Cesarean","2","None checked","1",985
,"2019","2019","Hawaii","15","Unknown or Not Stated","9","Vaginal","1","None checked","1",16
,"2019","2019","Idaho","16","Medicaid","1","Vaginal","1","At least one checked","0",71
,"2019","2019","Idaho","16","Medicaid","1","Vaginal","1","None checked","1",5638
,"2019","2019","Idaho","16","Medicaid","1","Cesarean","2","At least one checked","0",24
,"2019","2019","Idaho","16","Medicaid","1","Cesarean","2","None checked","1",1811
,"2019","2019","Idaho","16","Private Insurance","2","Vaginal","1","At least one checked","0",188
,"2019","2019","Idaho","16","Private Insurance","2","Vaginal","1","None checked","1",8951
,"2019","2019","Idaho","16","Private Insurance","2","Cesarean","2","At least one checked","0",39
,"2019","2019","Idaho","16","Private Insurance","2","Cesarean","2","None checked","1",2976
,"2019","2019","Idaho","16","Self Pay","3","Vaginal","1","At least one checked","0",18
,"2019","2019","Idaho","16","Self Pay","3","Vaginal","1","None checked","1",1139
,"2019","2019","Idaho","16","Self Pay","3","Cesarean","2","None checked","1",200
,"2019","2019","Idaho","16","Other","4","Vaginal","1","At least one checked","0",14
,"2019","2019","Idaho","16","Other","4","Vaginal","1","None checked","1",711
,"2019","2019","Idaho","16","Other","4","Cesarean","2","None checked","1",226
,"2019","2019","Idaho","16","Unknown or Not Stated","9","Vaginal","1","None checked","1",22
,"2019","2019","Idaho","16","Unknown or Not Stated","9","Cesarean","2","None checked","1",12
,"2019","2019","Illinois","17","Medicaid","1","Vaginal","1","At least one checked","0",388
,"2019","2019","Illinois","17","Medicaid","1","Vaginal","1","None checked","1",37434
,"2019","2019","Illinois","17","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",21
,"2019","2019","Illinois","17","Medicaid","1","Cesarean","2","At least one checked","0",411
,"2019","2019","Illinois","17","Medicaid","1","Cesarean","2","None checked","1",15184
,"2019","2019","Illinois","17","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",18
,"2019","2019","Illinois","17","Private Insurance","2","Vaginal","1","At least one checked","0",974
,"2019","2019","Illinois","17","Private Insurance","2","Vaginal","1","None checked","1",55072
,"2019","2019","Illinois","17","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",22
,"2019","2019","Illinois","17","Private Insurance","2","Cesarean","2","At least one checked","0",483
,"2019","2019","Illinois","17","Private Insurance","2","Cesarean","2","None checked","1",25672
,"2019","2019","Illinois","17","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",13
,"2019","2019","Illinois","17","Self Pay","3","Vaginal","1","At least one checked","0",27
,"2019","2019","Illinois","17","Self Pay","3","Vaginal","1","None checked","1",1825
,"2019","2019","Illinois","17","Self Pay","3","Cesarean","2","At least one checked","0",19
,"2019","2019","Illinois","17","Self Pay","3","Cesarean","2","None checked","1",590
,"2019","2019","Illinois","17","Other","4","Vaginal","1","At least one checked","0",22
,"2019","2019","Illinois","17","Other","4","Vaginal","1","None checked","1",1173
,"2019","2019","Illinois","17","Other","4","Cesarean","2","At least one checked","0",13
,"2019","2019","Illinois","17","Other","4","Cesarean","2","None checked","1",458
,"2019","2019","Illinois","17","Unknown or Not Stated","9","Vaginal","1","None checked","1",209
,"2019","2019","Illinois","17","Unknown or Not Stated","9","Cesarean","2","None checked","1",60
,"2019","2019","Illinois","17","Unknown or Not Stated","9","Unknown or Not Stated","9","Unknown or Not Stated","9",10
,"2019","2019","Indiana","18","Medicaid","1","Vaginal","1","At least one checked","0",232
,"2019","2019","Indiana","18","Medicaid","1","Vaginal","1","None checked","1",21798
,"2019","2019","Indiana","18","Medicaid","1","Cesarean","2","At least one checked","0",154
,"2019","2019","Indiana","18","Medicaid","1","Cesarean","2","None checked","1",8942
,"2019","2019","Indiana","18","Private Insurance","2","Vaginal","1","At least one checked","0",491
,"2019","2019","Indiana","18","Private Insurance","2","Vaginal","1","None checked","1",28937
,"2019","2019","Indiana","18","Private Insurance","2","Cesarean","2","At least one checked","0",124
,"2019","2019","Indiana","18","Private Insurance","2","Cesarean","2","None checked","1",12927
,"2019","2019","Indiana","18","Self Pay","3","Vaginal","1","At least one checked","0",39
,"2019","2019","Indiana","18","Self Pay","3","Vaginal","1","None checked","1",3560
,"2019","2019","Indiana","18","Self Pay","3","Cesarean","2","At least one checked","0",12
,"2019","2019","Indiana","18","Self Pay","3","Cesarean","2","None checked","1",660
,"2019","2019","Indiana","18","Other","4","Vaginal","1","At least one checked","0",17
,"2019","2019","Indiana","18","Other","4","Vaginal","1","None checked","1",1982
,"2019","2019","Indiana","18","Other","4","Cesarean","2","At least one checked","0",15
,"2019","2019","Indiana","18","Other","4","Cesarean","2","None checked","1",802
,"2019","2019","Indiana","18","Unknown or Not Stated","9","Vaginal","1","None checked","1",120
,"2019","2019","Indiana","18","Unknown or Not Stated","9","Cesarean","2","None checked","1",31
,"2019","2019","Iowa","19","Medicaid","1","Vaginal","1","At least one checked","0",161
,"2019","2019","Iowa","19","Medicaid","1","Vaginal","1","None checked","1",9669
,"2019","2019","Iowa","19","Medicaid","1","Cesarean","2","At least one checked","0",109
,"2019","2019","Iowa","19","Medicaid","1","Cesarean","2","None checked","1",4261
,"2019","2019","Iowa","19","Private Insurance","2","Vaginal","1","At least one checked","0",421
,"2019","2019","Iowa","19","Private Insurance","2","Vaginal","1","None checked","1",14898
,"2019","2019","Iowa","19","Private Insurance","2","Cesarean","2","At least one checked","0",123
,"2019","2019","Iowa","19","Private Insurance","2","Cesarean","2","None checked","1",6340
,"2019","2019","Iowa","19","Self Pay","3","Vaginal","1","At least one checked","0",20
,"2019","2019","Iowa","19","Self Pay","3","Vaginal","1","None checked","1",1003
,"2019","2019","Iowa","19","Self Pay","3","Cesarean","2","None checked","1",182
,"2019","2019","Iowa","19","Other","4","Vaginal","1","None checked","1",312
,"2019","2019","Iowa","19","Other","4","Cesarean","2","None checked","1",101
,"2019","2019","Iowa","19","Unknown or Not Stated","9","Vaginal","1","None checked","1",18
,"2019","2019","Kansas","20","Medicaid","1","Vaginal","1","At least one checked","0",61
,"2019","2019","Kansas","20","Medicaid","1","Vaginal","1","None checked","1",7309
,"2019","2019","Kansas","20","Medicaid","1","Cesarean","2","At least one checked","0",35
,"2019","2019","Kansas","20","Medicaid","1","Cesarean","2","None checked","1",3080
,"2019","2019","Kansas","20","Private Insurance","2","Vaginal","1","At least one checked","0",226
,"2019","2019","Kansas","20","Private Insurance","2","Vaginal","1","None checked","1",13555
,"2019","2019","Kansas","20","Private Insurance","2","Cesarean","2","At least one checked","0",45
,"2019","2019","Kansas","20","Private Insurance","2","Cesarean","2","None checked","1",6165
,"2019","2019","Kansas","20","Self Pay","3","Vaginal","1","At least one checked","0",11
,"2019","2019","Kansas","20","Self Pay","3","Vaginal","1","None checked","1",2047
,"2019","2019","Kansas","20","Self Pay","3","Cesarean","2","None checked","1",540
,"2019","2019","Kansas","20","Other","4","Vaginal","1","At least one checked","0",15
,"2019","2019","Kansas","20","Other","4","Vaginal","1","None checked","1",1539
,"2019","2019","Kansas","20","Other","4","Cesarean","2","None checked","1",585
,"2019","2019","Kansas","20","Unknown or Not Stated","9","Vaginal","1","None checked","1",125
,"2019","2019","Kansas","20","Unknown or Not Stated","9","Cesarean","2","None checked","1",44
,"2019","2019","Kentucky","21","Medicaid","1","Vaginal","1","At least one checked","0",156
,"2019","2019","Kentucky","21","Medicaid","1","Vaginal","1","None checked","1",16586
,"2019","2019","Kentucky","21","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",77
,"2019","2019","Kentucky","21","Medicaid","1","Cesarean","2","At least one checked","0",113
,"2019","2019","Kentucky","21","Medicaid","1","Cesarean","2","None checked","1",8469
,"2019","2019","Kentucky","21","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",41
,"2019","2019","Kentucky","21","Private Insurance","2","Vaginal","1","At least one checked","0",216
,"2019","2019","Kentucky","21","Private Insurance","2","Vaginal","1","None checked","1",14687
,"2019","2019","Kentucky","21","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",50
,"2019","2019","Kentucky","21","Private Insurance","2","Cesarean","2","At least one checked","0",67
,"2019","2019","Kentucky","21","Private Insurance","2","Cesarean","2","None checked","1",7932
,"2019","2019","Kentucky","21","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",35
,"2019","2019","Kentucky","21","Self Pay","3","Vaginal","1","At least one checked","0",15
,"2019","2019","Kentucky","21","Self Pay","3","Vaginal","1","None checked","1",1525
,"2019","2019","Kentucky","21","Self Pay","3","Vaginal","1","Unknown or Not Stated","9",10
,"2019","2019","Kentucky","21","Self Pay","3","Cesarean","2","None checked","1",358
,"2019","2019","Kentucky","21","Other","4","Vaginal","1","At least one checked","0",22
,"2019","2019","Kentucky","21","Other","4","Vaginal","1","None checked","1",1698
,"2019","2019","Kentucky","21","Other","4","Cesarean","2","At least one checked","0",13
,"2019","2019","Kentucky","21","Other","4","Cesarean","2","None checked","1",740
,"2019","2019","Kentucky","21","Unknown or Not Stated","9","Vaginal","1","None checked","1",142
,"2019","2019","Kentucky","21","Unknown or Not Stated","9","Cesarean","2","None checked","1",65
,"2019","2019","Louisiana","22","Medicaid","1","Vaginal","1","At least one checked","0",183
,"2019","2019","Louisiana","22","Medicaid","1","Vaginal","1","None checked","1",22477
,"2019","2019","Louisiana","22","Medicaid","1","Cesarean","2","At least one checked","0",164
,"2019","2019","Louisiana","22","Medicaid","1","Cesarean","2","None checked","1",12808
,"2019","2019","Louisiana","22","Private Insurance","2","Vaginal","1","At least one checked","0",200
,"2019","2019","Louisiana","22","Private Insurance","2","Vaginal","1","None checked","1",12709
,"2019","2019","Louisiana","22","Private Insurance","2","Cesarean","2","At least one checked","0",73
,"2019","2019","Louisiana","22","Private Insurance","2","Cesarean","2","None checked","1",7747
,"2019","2019","Louisiana","22","Self Pay","3","Vaginal","1","None checked","1",581
,"2019","2019","Louisiana","22","Self Pay","3","Cesarean","2","None checked","1",211
,"2019","2019","Louisiana","22","Other","4","Vaginal","1","None checked","1",1175
,"2019","2019","Louisiana","22","Other","4","Cesarean","2","None checked","1",594
,"2019","2019","Maine","23","Medicaid","1","Vaginal","1","At least one checked","0",26
,"2019","2019","Maine","23","Medicaid","1","Vaginal","1","None checked","1",3012
,"2019","2019","Maine","23","Medicaid","1","Cesarean","2","At least one checked","0",12
,"2019","2019","Maine","23","Medicaid","1","Cesarean","2","None checked","1",1332
,"2019","2019","Maine","23","Private Insurance","2","Vaginal","1","At least one checked","0",108
