"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Arizona","04","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",176
,"2021","2021","Arizona","04","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",118
,"2021","2021","Arizona","04","Vaginal","1","Yes","1","Unknown or Not Stated","9",36
,"2021","2021","Arizona","04","Vaginal","1","No","2","Underweight <18.5","1",1800
,"2021","2021","Arizona","04","Vaginal","1","No","2","Normal 18.5-24.9","2",21614
,"2021","2021","Arizona","04","Vaginal","1","No","2","Overweight 25.0-29.9","3",14679
,"2021","2021","Arizona","04","Vaginal","1","No","2","Obesity I 30.0-34.9","4",8749
,"2021","2021","Arizona","04","Vaginal","1","No","2","Obesity II 35.0-39.9","5",4021
,"2021","2021","Arizona","04","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",2218
,"2021","2021","Arizona","04","Vaginal","1","No","2","Unknown or Not Stated","9",533
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Underweight <18.5","1",130
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Normal 18.5-24.9","2",2358
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",2367
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",2001
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",1194
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",1052
,"2021","2021","Arizona","04","Cesarean","2","Yes","1","Unknown or Not Stated","9",95
,"2021","2021","Arizona","04","Cesarean","2","No","2","Underweight <18.5","1",264
,"2021","2021","Arizona","04","Cesarean","2","No","2","Normal 18.5-24.9","2",4192
,"2021","2021","Arizona","04","Cesarean","2","No","2","Overweight 25.0-29.9","3",3523
