"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2022","2022","Alabama","01","Vaginal","1","Yes","1","At least one checked","0",16
,"2022","2022","Alabama","01","Vaginal","1","Yes","1","None checked","1",921
,"2022","2022","Alabama","01","Vaginal","1","No","2","At least one checked","0",449
,"2022","2022","Alabama","01","Vaginal","1","No","2","None checked","1",36720
,"2022","2022","Alabama","01","Cesarean","2","Yes","1","At least one checked","0",110
,"2022","2022","Alabama","01","Cesarean","2","Yes","1","None checked","1",7686
,"2022","2022","Alabama","01","Cesarean","2","No","2","At least one checked","0",142
,"2022","2022","Alabama","01","Cesarean","2","No","2","None checked","1",12099
,"2022","2022","Alaska","02","Vaginal","1","Yes","1","At least one checked","0",11
,"2022","2022","Alaska","02","Vaginal","1","Yes","1","None checked","1",263
,"2022","2022","Alaska","02","Vaginal","1","No","2","At least one checked","0",203
,"2022","2022","Alaska","02","Vaginal","1","No","2","None checked","1",6703
,"2022","2022","Alaska","02","Vaginal","1","Unknown or Not Stated","9","None checked","1",35
,"2022","2022","Alaska","02","Cesarean","2","Yes","1","At least one checked","0",21
,"2022","2022","Alaska","02","Cesarean","2","Yes","1","None checked","1",790
,"2022","2022","Alaska","02","Cesarean","2","No","2","At least one checked","0",33
,"2022","2022","Alaska","02","Cesarean","2","No","2","None checked","1",1272
,"2022","2022","Arizona","04","Vaginal","1","Yes","1","At least one checked","0",35
,"2022","2022","Arizona","04","Vaginal","1","Yes","1","None checked","1",1972
,"2022","2022","Arizona","04","Vaginal","1","No","2","At least one checked","0",653
,"2022","2022","Arizona","04","Vaginal","1","No","2","None checked","1",53395
,"2022","2022","Arizona","04","Cesarean","2","Yes","1","At least one checked","0",122
,"2022","2022","Arizona","04","Cesarean","2","Yes","1","None checked","1",8963
,"2022","2022","Arizona","04","Cesarean","2","No","2","At least one checked","0",229
,"2022","2022","Arizona","04","Cesarean","2","No","2","None checked","1",13175
,"2022","2022","Arkansas","05","Vaginal","1","Yes","1","At least one checked","0",11
,"2022","2022","Arkansas","05","Vaginal","1","Yes","1","None checked","1",562
,"2022","2022","Arkansas","05","Vaginal","1","No","2","At least one checked","0",320
,"2022","2022","Arkansas","05","Vaginal","1","No","2","None checked","1",22636
,"2022","2022","Arkansas","05","Cesarean","2","Yes","1","At least one checked","0",68
,"2022","2022","Arkansas","05","Cesarean","2","Yes","1","None checked","1",4626
,"2022","2022","Arkansas","05","Cesarean","2","No","2","At least one checked","0",93
,"2022","2022","Arkansas","05","Cesarean","2","No","2","None checked","1",7151
,"2022","2022","California","06","Vaginal","1","Yes","1","At least one checked","0",191
,"2022","2022","California","06","Vaginal","1","Yes","1","None checked","1",8441
,"2022","2022","California","06","Vaginal","1","Yes","1","Unknown or Not Stated","9",14
,"2022","2022","California","06","Vaginal","1","No","2","At least one checked","0",3755
,"2022","2022","California","06","Vaginal","1","No","2","None checked","1",276126
,"2022","2022","California","06","Vaginal","1","No","2","Unknown or Not Stated","9",552
,"2022","2022","California","06","Vaginal","1","Unknown or Not Stated","9","None checked","1",11
,"2022","2022","California","06","Vaginal","1","Unknown or Not Stated","9","Unknown or Not Stated","9",102
,"2022","2022","California","06","Cesarean","2","Yes","1","At least one checked","0",500
,"2022","2022","California","06","Cesarean","2","Yes","1","None checked","1",56962
,"2022","2022","California","06","Cesarean","2","Yes","1","Unknown or Not Stated","9",72
,"2022","2022","California","06","Cesarean","2","No","2","At least one checked","0",745
,"2022","2022","California","06","Cesarean","2","No","2","None checked","1",71566
,"2022","2022","California","06","Cesarean","2","No","2","Unknown or Not Stated","9",59
,"2022","2022","Colorado","08","Vaginal","1","Yes","1","At least one checked","0",46
,"2022","2022","Colorado","08","Vaginal","1","Yes","1","None checked","1",1626
,"2022","2022","Colorado","08","Vaginal","1","No","2","At least one checked","0",632
,"2022","2022","Colorado","08","Vaginal","1","No","2","None checked","1",42673
,"2022","2022","Colorado","08","Cesarean","2","Yes","1","At least one checked","0",90
,"2022","2022","Colorado","08","Cesarean","2","Yes","1","None checked","1",5779
,"2022","2022","Colorado","08","Cesarean","2","No","2","At least one checked","0",131
,"2022","2022","Colorado","08","Cesarean","2","No","2","None checked","1",11387
,"2022","2022","Connecticut","09","Vaginal","1","Yes","1","At least one checked","0",25
,"2022","2022","Connecticut","09","Vaginal","1","Yes","1","None checked","1",826
,"2022","2022","Connecticut","09","Vaginal","1","No","2","At least one checked","0",341
,"2022","2022","Connecticut","09","Vaginal","1","No","2","None checked","1",21665
,"2022","2022","Connecticut","09","Vaginal","1","Unknown or Not Stated","9","None checked","1",28
,"2022","2022","Connecticut","09","Cesarean","2","Yes","1","At least one checked","0",68
,"2022","2022","Connecticut","09","Cesarean","2","Yes","1","None checked","1",4851
,"2022","2022","Connecticut","09","Cesarean","2","No","2","At least one checked","0",109
,"2022","2022","Connecticut","09","Cesarean","2","No","2","None checked","1",7400
,"2022","2022","Delaware","10","Vaginal","1","Yes","1","None checked","1",192
,"2022","2022","Delaware","10","Vaginal","1","No","2","At least one checked","0",113
,"2022","2022","Delaware","10","Vaginal","1","No","2","None checked","1",6975
,"2022","2022","Delaware","10","Vaginal","1","No","2","Unknown or Not Stated","9",39
,"2022","2022","Delaware","10","Vaginal","1","Unknown or Not Stated","9","None checked","1",35
,"2022","2022","Delaware","10","Cesarean","2","Yes","1","At least one checked","0",19
,"2022","2022","Delaware","10","Cesarean","2","Yes","1","None checked","1",1313
,"2022","2022","Delaware","10","Cesarean","2","No","2","At least one checked","0",26
,"2022","2022","Delaware","10","Cesarean","2","No","2","None checked","1",2075
,"2022","2022","Delaware","10","Cesarean","2","Unknown or Not Stated","9","None checked","1",11
,"2022","2022","District of Columbia","11","Vaginal","1","Yes","1","None checked","1",206
,"2022","2022","District of Columbia","11","Vaginal","1","No","2","At least one checked","0",119
,"2022","2022","District of Columbia","11","Vaginal","1","No","2","None checked","1",5051
