"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Underweight <18.5","1",22
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Normal 18.5-24.9","2",279
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",209
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",142
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",75
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",62
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","Unknown or Not Stated","9",26
,"2019","2019","Alabama","01","Vaginal","1","No","2","Underweight <18.5","1",1437
,"2019","2019","Alabama","01","Vaginal","1","No","2","Normal 18.5-24.9","2",15136
,"2019","2019","Alabama","01","Vaginal","1","No","2","Overweight 25.0-29.9","3",9562
,"2019","2019","Alabama","01","Vaginal","1","No","2","Obesity I 30.0-34.9","4",5670
,"2019","2019","Alabama","01","Vaginal","1","No","2","Obesity II 35.0-39.9","5",2997
,"2019","2019","Alabama","01","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",1968
,"2019","2019","Alabama","01","Vaginal","1","No","2","Unknown or Not Stated","9",751
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Underweight <18.5","1",134
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1832
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1834
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",1571
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",1002
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",1068
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","Unknown or Not Stated","9",154
,"2019","2019","Alabama","01","Cesarean","2","No","2","Underweight <18.5","1",292
,"2019","2019","Alabama","01","Cesarean","2","No","2","Normal 18.5-24.9","2",3428
,"2019","2019","Alabama","01","Cesarean","2","No","2","Overweight 25.0-29.9","3",3135
,"2019","2019","Alabama","01","Cesarean","2","No","2","Obesity I 30.0-34.9","4",2488
,"2019","2019","Alabama","01","Cesarean","2","No","2","Obesity II 35.0-39.9","5",1610
,"2019","2019","Alabama","01","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",1554
,"2019","2019","Alabama","01","Cesarean","2","No","2","Unknown or Not Stated","9",164
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Normal 18.5-24.9","2",124
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",77
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",37
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",23
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",12
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","Unknown or Not Stated","9",12
,"2019","2019","Alaska","02","Vaginal","1","No","2","Underweight <18.5","1",163
,"2019","2019","Alaska","02","Vaginal","1","No","2","Normal 18.5-24.9","2",3175
,"2019","2019","Alaska","02","Vaginal","1","No","2","Overweight 25.0-29.9","3",1954
,"2019","2019","Alaska","02","Vaginal","1","No","2","Obesity I 30.0-34.9","4",1012
,"2019","2019","Alaska","02","Vaginal","1","No","2","Obesity II 35.0-39.9","5",507
,"2019","2019","Alaska","02","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",332
,"2019","2019","Alaska","02","Vaginal","1","No","2","Unknown or Not Stated","9",188
,"2019","2019","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",26
,"2019","2019","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Overweight 25.0-29.9","3",21
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Normal 18.5-24.9","2",254
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",193
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",136
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",96
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",118
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","Unknown or Not Stated","9",21
,"2019","2019","Alaska","02","Cesarean","2","No","2","Underweight <18.5","1",10
,"2019","2019","Alaska","02","Cesarean","2","No","2","Normal 18.5-24.9","2",448
,"2019","2019","Alaska","02","Cesarean","2","No","2","Overweight 25.0-29.9","3",341
,"2019","2019","Alaska","02","Cesarean","2","No","2","Obesity I 30.0-34.9","4",199
,"2019","2019","Alaska","02","Cesarean","2","No","2","Obesity II 35.0-39.9","5",150
,"2019","2019","Alaska","02","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",117
,"2019","2019","Alaska","02","Cesarean","2","No","2","Unknown or Not Stated","9",23
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Underweight <18.5","1",45
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Normal 18.5-24.9","2",737
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",573
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",320
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",178
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",99
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","Unknown or Not Stated","9",21
,"2019","2019","Arizona","04","Vaginal","1","No","2","Underweight <18.5","1",1993
,"2019","2019","Arizona","04","Vaginal","1","No","2","Normal 18.5-24.9","2",23855
,"2019","2019","Arizona","04","Vaginal","1","No","2","Overweight 25.0-29.9","3",14858
,"2019","2019","Arizona","04","Vaginal","1","No","2","Obesity I 30.0-34.9","4",8471
,"2019","2019","Arizona","04","Vaginal","1","No","2","Obesity II 35.0-39.9","5",3799
,"2019","2019","Arizona","04","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",2071
,"2019","2019","Arizona","04","Vaginal","1","No","2","Unknown or Not Stated","9",308
