"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Underweight <18.5","1",27
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Normal 18.5-24.9","2",337
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",290
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",186
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",100
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",75
,"2023","2023","Alabama","01","Vaginal","1","Yes","1","Unknown or Not Stated","9",13
,"2023","2023","Alabama","01","Vaginal","1","No","2","Underweight <18.5","1",1241
,"2023","2023","Alabama","01","Vaginal","1","No","2","Normal 18.5-24.9","2",13988
,"2023","2023","Alabama","01","Vaginal","1","No","2","Overweight 25.0-29.9","3",9819
,"2023","2023","Alabama","01","Vaginal","1","No","2","Obesity I 30.0-34.9","4",6207
,"2023","2023","Alabama","01","Vaginal","1","No","2","Obesity II 35.0-39.9","5",3228
,"2023","2023","Alabama","01","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",2214
,"2023","2023","Alabama","01","Vaginal","1","No","2","Unknown or Not Stated","9",341
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Underweight <18.5","1",113
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1667
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1800
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",1656
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",1143
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",1218
,"2023","2023","Alabama","01","Cesarean","2","Yes","1","Unknown or Not Stated","9",49
,"2023","2023","Alabama","01","Cesarean","2","No","2","Underweight <18.5","1",222
,"2023","2023","Alabama","01","Cesarean","2","No","2","Normal 18.5-24.9","2",3263
,"2023","2023","Alabama","01","Cesarean","2","No","2","Overweight 25.0-29.9","3",2950
,"2023","2023","Alabama","01","Cesarean","2","No","2","Obesity I 30.0-34.9","4",2285
,"2023","2023","Alabama","01","Cesarean","2","No","2","Obesity II 35.0-39.9","5",1691
,"2023","2023","Alabama","01","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",1669
,"2023","2023","Alabama","01","Cesarean","2","No","2","Unknown or Not Stated","9",57
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Normal 18.5-24.9","2",92
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",77
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",48
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",30
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",23
,"2023","2023","Alaska","02","Vaginal","1","Yes","1","Unknown or Not Stated","9",18
,"2023","2023","Alaska","02","Vaginal","1","No","2","Underweight <18.5","1",126
,"2023","2023","Alaska","02","Vaginal","1","No","2","Normal 18.5-24.9","2",2635
,"2023","2023","Alaska","02","Vaginal","1","No","2","Overweight 25.0-29.9","3",1744
,"2023","2023","Alaska","02","Vaginal","1","No","2","Obesity I 30.0-34.9","4",968
,"2023","2023","Alaska","02","Vaginal","1","No","2","Obesity II 35.0-39.9","5",446
,"2023","2023","Alaska","02","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",323
,"2023","2023","Alaska","02","Vaginal","1","No","2","Unknown or Not Stated","9",249
,"2023","2023","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",21
,"2023","2023","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Overweight 25.0-29.9","3",24
,"2023","2023","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Unknown or Not Stated","9",10
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Normal 18.5-24.9","2",200
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",212
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",188
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",116
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",115
,"2023","2023","Alaska","02","Cesarean","2","Yes","1","Unknown or Not Stated","9",20
,"2023","2023","Alaska","02","Cesarean","2","No","2","Underweight <18.5","1",20
,"2023","2023","Alaska","02","Cesarean","2","No","2","Normal 18.5-24.9","2",412
,"2023","2023","Alaska","02","Cesarean","2","No","2","Overweight 25.0-29.9","3",343
,"2023","2023","Alaska","02","Cesarean","2","No","2","Obesity I 30.0-34.9","4",240
,"2023","2023","Alaska","02","Cesarean","2","No","2","Obesity II 35.0-39.9","5",137
,"2023","2023","Alaska","02","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",116
,"2023","2023","Alaska","02","Cesarean","2","No","2","Unknown or Not Stated","9",33
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Underweight <18.5","1",38
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Normal 18.5-24.9","2",654
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",589
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",407
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",180
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",88
,"2023","2023","Arizona","04","Vaginal","1","Yes","1","Unknown or Not Stated","9",39
,"2023","2023","Arizona","04","Vaginal","1","No","2","Underweight <18.5","1",1706
,"2023","2023","Arizona","04","Vaginal","1","No","2","Normal 18.5-24.9","2",20675
,"2023","2023","Arizona","04","Vaginal","1","No","2","Overweight 25.0-29.9","3",14833
,"2023","2023","Arizona","04","Vaginal","1","No","2","Obesity I 30.0-34.9","4",9074
,"2023","2023","Arizona","04","Vaginal","1","No","2","Obesity II 35.0-39.9","5",4180
,"2023","2023","Arizona","04","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",2322
,"2023","2023","Arizona","04","Vaginal","1","No","2","Unknown or Not Stated","9",632
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Underweight <18.5","1",112
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Normal 18.5-24.9","2",2147
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",2441
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",2024
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",1148
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",1017
,"2023","2023","Arizona","04","Cesarean","2","Yes","1","Unknown or Not Stated","9",127
,"2023","2023","Arizona","04","Cesarean","2","No","2","Underweight <18.5","1",263
,"2023","2023","Arizona","04","Cesarean","2","No","2","Normal 18.5-24.9","2",4113
,"2023","2023","Arizona","04","Cesarean","2","No","2","Overweight 25.0-29.9","3",3742
,"2023","2023","Arizona","04","Cesarean","2","No","2","Obesity I 30.0-34.9","4",2671
,"2023","2023","Arizona","04","Cesarean","2","No","2","Obesity II 35.0-39.9","5",1498
,"2023","2023","Arizona","04","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",1210
