"Notes","Year","Year Code","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","Under 15 years","15","Normal 18.5-24.9","2","None checked","1",26
,"2019","2019","Alabama","01","Under 15 years","15","Overweight 25.0-29.9","3","None checked","1",12
,"2019","2019","Alabama","01","15-19 years","15-19","Underweight <18.5","1","None checked","1",266
,"2019","2019","Alabama","01","15-19 years","15-19","Normal 18.5-24.9","2","At least one checked","0",32
,"2019","2019","Alabama","01","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",1733
,"2019","2019","Alabama","01","15-19 years","15-19","Overweight 25.0-29.9","3","At least one checked","0",15
,"2019","2019","Alabama","01","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",904
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity I 30.0-34.9","4","At least one checked","0",11
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",484
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",222
,"2019","2019","Alabama","01","15-19 years","15-19","Extreme Obesity III > 39.9","6","None checked","1",172
,"2019","2019","Alabama","01","15-19 years","15-19","Unknown or Not Stated","9","None checked","1",104
,"2019","2019","Alabama","01","20-24 years","20-24","Underweight <18.5","1","None checked","1",646
,"2019","2019","Alabama","01","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",72
,"2019","2019","Alabama","01","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",5380
,"2019","2019","Alabama","01","20-24 years","20-24","Overweight 25.0-29.9","3","At least one checked","0",27
,"2019","2019","Alabama","01","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",3696
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity I 30.0-34.9","4","At least one checked","0",13
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",2573
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",1481
,"2019","2019","Alabama","01","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",1072
,"2019","2019","Alabama","01","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",296
,"2019","2019","Alabama","01","25-29 years","25-29","Underweight <18.5","1","At least one checked","0",11
,"2019","2019","Alabama","01","25-29 years","25-29","Underweight <18.5","1","None checked","1",519
,"2019","2019","Alabama","01","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",66
,"2019","2019","Alabama","01","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",6374
,"2019","2019","Alabama","01","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",51
,"2019","2019","Alabama","01","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",4683
,"2019","2019","Alabama","01","25-29 years","25-29","Obesity I 30.0-34.9","4","At least one checked","0",24
,"2019","2019","Alabama","01","25-29 years","25-29","Obesity I 30.0-34.9","4","None checked","1",3168
,"2019","2019","Alabama","01","25-29 years","25-29","Obesity II 35.0-39.9","5","At least one checked","0",16
,"2019","2019","Alabama","01","25-29 years","25-29","Obesity II 35.0-39.9","5","None checked","1",1798
,"2019","2019","Alabama","01","25-29 years","25-29","Extreme Obesity III > 39.9","6","At least one checked","0",16
,"2019","2019","Alabama","01","25-29 years","25-29","Extreme Obesity III > 39.9","6","None checked","1",1640
,"2019","2019","Alabama","01","25-29 years","25-29","Unknown or Not Stated","9","None checked","1",285
,"2019","2019","Alabama","01","30-34 years","30-34","Underweight <18.5","1","None checked","1",297
,"2019","2019","Alabama","01","30-34 years","30-34","Normal 18.5-24.9","2","At least one checked","0",54
,"2019","2019","Alabama","01","30-34 years","30-34","Normal 18.5-24.9","2","None checked","1",4816
,"2019","2019","Alabama","01","30-34 years","30-34","Overweight 25.0-29.9","3","At least one checked","0",35
,"2019","2019","Alabama","01","30-34 years","30-34","Overweight 25.0-29.9","3","None checked","1",3478
,"2019","2019","Alabama","01","30-34 years","30-34","Obesity I 30.0-34.9","4","At least one checked","0",29
,"2019","2019","Alabama","01","30-34 years","30-34","Obesity I 30.0-34.9","4","None checked","1",2309
,"2019","2019","Alabama","01","30-34 years","30-34","Obesity II 35.0-39.9","5","None checked","1",1372
,"2019","2019","Alabama","01","30-34 years","30-34","Extreme Obesity III > 39.9","6","At least one checked","0",10
,"2019","2019","Alabama","01","30-34 years","30-34","Extreme Obesity III > 39.9","6","None checked","1",1132
,"2019","2019","Alabama","01","30-34 years","30-34","Unknown or Not Stated","9","None checked","1",227
,"2019","2019","Alabama","01","35-39 years","35-39","Underweight <18.5","1","None checked","1",118
,"2019","2019","Alabama","01","35-39 years","35-39","Normal 18.5-24.9","2","At least one checked","0",23
,"2019","2019","Alabama","01","35-39 years","35-39","Normal 18.5-24.9","2","None checked","1",1767
,"2019","2019","Alabama","01","35-39 years","35-39","Overweight 25.0-29.9","3","At least one checked","0",18
,"2019","2019","Alabama","01","35-39 years","35-39","Overweight 25.0-29.9","3","None checked","1",1517
,"2019","2019","Alabama","01","35-39 years","35-39","Obesity I 30.0-34.9","4","At least one checked","0",10
,"2019","2019","Alabama","01","35-39 years","35-39","Obesity I 30.0-34.9","4","None checked","1",1052
,"2019","2019","Alabama","01","35-39 years","35-39","Obesity II 35.0-39.9","5","None checked","1",626
,"2019","2019","Alabama","01","35-39 years","35-39","Extreme Obesity III > 39.9","6","None checked","1",505
,"2019","2019","Alabama","01","35-39 years","35-39","Unknown or Not Stated","9","None checked","1",131
,"2019","2019","Alabama","01","40-44 years","40-44","Underweight <18.5","1","None checked","1",13
,"2019","2019","Alabama","01","40-44 years","40-44","Normal 18.5-24.9","2","None checked","1",314
,"2019","2019","Alabama","01","40-44 years","40-44","Overweight 25.0-29.9","3","None checked","1",278
,"2019","2019","Alabama","01","40-44 years","40-44","Obesity I 30.0-34.9","4","None checked","1",176
,"2019","2019","Alabama","01","40-44 years","40-44","Obesity II 35.0-39.9","5","None checked","1",133
,"2019","2019","Alabama","01","40-44 years","40-44","Extreme Obesity III > 39.9","6","None checked","1",88
,"2019","2019","Alabama","01","40-44 years","40-44","Unknown or Not Stated","9","None checked","1",28
,"2019","2019","Alabama","01","45-49 years","45-49","Normal 18.5-24.9","2","None checked","1",20
,"2019","2019","Alabama","01","45-49 years","45-49","Overweight 25.0-29.9","3","None checked","1",21
,"2019","2019","Alabama","01","45-49 years","45-49","Obesity I 30.0-34.9","4","None checked","1",12
,"2019","2019","Alaska","02","15-19 years","15-19","Underweight <18.5","1","None checked","1",14
,"2019","2019","Alaska","02","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",197
,"2019","2019","Alaska","02","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",93
,"2019","2019","Alaska","02","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",32
,"2019","2019","Alaska","02","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",20
,"2019","2019","Alaska","02","20-24 years","20-24","Underweight <18.5","1","None checked","1",61
,"2019","2019","Alaska","02","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",25
,"2019","2019","Alaska","02","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",819
,"2019","2019","Alaska","02","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",521
,"2019","2019","Alaska","02","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",269
,"2019","2019","Alaska","02","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",153
,"2019","2019","Alaska","02","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",99
,"2019","2019","Alaska","02","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",55
,"2019","2019","Alaska","02","25-29 years","25-29","Underweight <18.5","1","None checked","1",39
,"2019","2019","Alaska","02","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",41
,"2019","2019","Alaska","02","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",1215
,"2019","2019","Alaska","02","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",19
,"2019","2019","Alaska","02","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",783
,"2019","2019","Alaska","02","25-29 years","25-29","Obesity I 30.0-34.9","4","None checked","1",437
,"2019","2019","Alaska","02","25-29 years","25-29","Obesity II 35.0-39.9","5","None checked","1",247
,"2019","2019","Alaska","02","25-29 years","25-29","Extreme Obesity III > 39.9","6","None checked","1",184
,"2019","2019","Alaska","02","25-29 years","25-29","Unknown or Not Stated","9","None checked","1",76
,"2019","2019","Alaska","02","30-34 years","30-34","Underweight <18.5","1","None checked","1",45
,"2019","2019","Alaska","02","30-34 years","30-34","Normal 18.5-24.9","2","At least one checked","0",28
,"2019","2019","Alaska","02","30-34 years","30-34","Normal 18.5-24.9","2","None checked","1",1007
,"2019","2019","Alaska","02","30-34 years","30-34","Normal 18.5-24.9","2","Unknown or Not Stated","9",10
,"2019","2019","Alaska","02","30-34 years","30-34","Overweight 25.0-29.9","3","At least one checked","0",13
,"2019","2019","Alaska","02","30-34 years","30-34","Overweight 25.0-29.9","3","None checked","1",685
,"2019","2019","Alaska","02","30-34 years","30-34","Obesity I 30.0-34.9","4","None checked","1",370
,"2019","2019","Alaska","02","30-34 years","30-34","Obesity II 35.0-39.9","5","None checked","1",220
,"2019","2019","Alaska","02","30-34 years","30-34","Extreme Obesity III > 39.9","6","None checked","1",160
,"2019","2019","Alaska","02","30-34 years","30-34","Unknown or Not Stated","9","None checked","1",63
,"2019","2019","Alaska","02","35-39 years","35-39","Underweight <18.5","1","None checked","1",18
,"2019","2019","Alaska","02","35-39 years","35-39","Normal 18.5-24.9","2","At least one checked","0",12
,"2019","2019","Alaska","02","35-39 years","35-39","Normal 18.5-24.9","2","None checked","1",535
,"2019","2019","Alaska","02","35-39 years","35-39","Overweight 25.0-29.9","3","None checked","1",349
,"2019","2019","Alaska","02","35-39 years","35-39","Obesity I 30.0-34.9","4","None checked","1",205
,"2019","2019","Alaska","02","35-39 years","35-39","Obesity II 35.0-39.9","5","None checked","1",92
,"2019","2019","Alaska","02","35-39 years","35-39","Extreme Obesity III > 39.9","6","None checked","1",95
,"2019","2019","Alaska","02","35-39 years","35-39","Unknown or Not Stated","9","None checked","1",23
,"2019","2019","Alaska","02","40-44 years","40-44","Normal 18.5-24.9","2","None checked","1",103
,"2019","2019","Alaska","02","40-44 years","40-44","Overweight 25.0-29.9","3","None checked","1",77
,"2019","2019","Alaska","02","40-44 years","40-44","Obesity I 30.0-34.9","4","None checked","1",44
,"2019","2019","Alaska","02","40-44 years","40-44","Obesity II 35.0-39.9","5","None checked","1",26
,"2019","2019","Alaska","02","40-44 years","40-44","Extreme Obesity III > 39.9","6","None checked","1",16
,"2019","2019","Alaska","02","45-49 years","45-49","Normal 18.5-24.9","2","None checked","1",10
,"2019","2019","Arizona","04","Under 15 years","15","Normal 18.5-24.9","2","None checked","1",23
,"2019","2019","Arizona","04","Under 15 years","15","Overweight 25.0-29.9","3","None checked","1",10
,"2019","2019","Arizona","04","15-19 years","15-19","Underweight <18.5","1","None checked","1",325
,"2019","2019","Arizona","04","15-19 years","15-19","Normal 18.5-24.9","2","At least one checked","0",39
,"2019","2019","Arizona","04","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",2092
,"2019","2019","Arizona","04","15-19 years","15-19","Overweight 25.0-29.9","3","At least one checked","0",17
,"2019","2019","Arizona","04","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",1029
,"2019","2019","Arizona","04","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",496
,"2019","2019","Arizona","04","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",188
,"2019","2019","Arizona","04","15-19 years","15-19","Extreme Obesity III > 39.9","6","None checked","1",81
,"2019","2019","Arizona","04","15-19 years","15-19","Unknown or Not Stated","9","None checked","1",33
,"2019","2019","Arizona","04","20-24 years","20-24","Underweight <18.5","1","None checked","1",754
,"2019","2019","Arizona","04","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",89
,"2019","2019","Arizona","04","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",6755
,"2019","2019","Arizona","04","20-24 years","20-24","Overweight 25.0-29.9","3","At least one checked","0",53
,"2019","2019","Arizona","04","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",4340
,"2019","2019","Arizona","04","20-24 years","20-24","Obesity I 30.0-34.9","4","At least one checked","0",37
,"2019","2019","Arizona","04","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",2701
,"2019","2019","Arizona","04","20-24 years","20-24","Obesity II 35.0-39.9","5","At least one checked","0",18
,"2019","2019","Arizona","04","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",1306
,"2019","2019","Arizona","04","20-24 years","20-24","Extreme Obesity III > 39.9","6","At least one checked","0",10
,"2019","2019","Arizona","04","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",716
,"2019","2019","Arizona","04","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",122
,"2019","2019","Arizona","04","25-29 years","25-29","Underweight <18.5","1","At least one checked","0",14
,"2019","2019","Arizona","04","25-29 years","25-29","Underweight <18.5","1","None checked","1",720
,"2019","2019","Arizona","04","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",130
,"2019","2019","Arizona","04","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",9343
,"2019","2019","Arizona","04","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",69
,"2019","2019","Arizona","04","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",6442
,"2019","2019","Arizona","04","25-29 years","25-29","Obesity I 30.0-34.9","4","At least one checked","0",41
,"2019","2019","Arizona","04","25-29 years","25-29","Obesity I 30.0-34.9","4","None checked","1",4039
,"2019","2019","Arizona","04","25-29 years","25-29","Obesity II 35.0-39.9","5","At least one checked","0",28
,"2019","2019","Arizona","04","25-29 years","25-29","Obesity II 35.0-39.9","5","None checked","1",2075
,"2019","2019","Arizona","04","25-29 years","25-29","Extreme Obesity III > 39.9","6","At least one checked","0",11
,"2019","2019","Arizona","04","25-29 years","25-29","Extreme Obesity III > 39.9","6","None checked","1",1331
,"2019","2019","Arizona","04","25-29 years","25-29","Unknown or Not Stated","9","None checked","1",131
,"2019","2019","Arizona","04","30-34 years","30-34","Underweight <18.5","1","None checked","1",456
,"2019","2019","Arizona","04","30-34 years","30-34","Normal 18.5-24.9","2","At least one checked","0",94
,"2019","2019","Arizona","04","30-34 years","30-34","Normal 18.5-24.9","2","None checked","1",8178
,"2019","2019","Arizona","04","30-34 years","30-34","Overweight 25.0-29.9","3","At least one checked","0",72
,"2019","2019","Arizona","04","30-34 years","30-34","Overweight 25.0-29.9","3","None checked","1",5704
,"2019","2019","Arizona","04","30-34 years","30-34","Obesity I 30.0-34.9","4","At least one checked","0",44
,"2019","2019","Arizona","04","30-34 years","30-34","Obesity I 30.0-34.9","4","None checked","1",3397
,"2019","2019","Arizona","04","30-34 years","30-34","Obesity II 35.0-39.9","5","At least one checked","0",24
,"2019","2019","Arizona","04","30-34 years","30-34","Obesity II 35.0-39.9","5","None checked","1",1636
,"2019","2019","Arizona","04","30-34 years","30-34","Extreme Obesity III > 39.9","6","At least one checked","0",12
,"2019","2019","Arizona","04","30-34 years","30-34","Extreme Obesity III > 39.9","6","None checked","1",1169
,"2019","2019","Arizona","04","30-34 years","30-34","Unknown or Not Stated","9","None checked","1",91
,"2019","2019","Arizona","04","35-39 years","35-39","Underweight <18.5","1","None checked","1",173
,"2019","2019","Arizona","04","35-39 years","35-39","Normal 18.5-24.9","2","At least one checked","0",53
,"2019","2019","Arizona","04","35-39 years","35-39","Normal 18.5-24.9","2","None checked","1",3901
,"2019","2019","Arizona","04","35-39 years","35-39","Overweight 25.0-29.9","3","At least one checked","0",45
,"2019","2019","Arizona","04","35-39 years","35-39","Overweight 25.0-29.9","3","None checked","1",2874
,"2019","2019","Arizona","04","35-39 years","35-39","Obesity I 30.0-34.9","4","At least one checked","0",20
,"2019","2019","Arizona","04","35-39 years","35-39","Obesity I 30.0-34.9","4","None checked","1",1767
,"2019","2019","Arizona","04","35-39 years","35-39","Obesity II 35.0-39.9","5","None checked","1",897
,"2019","2019","Arizona","04","35-39 years","35-39","Extreme Obesity III > 39.9","6","None checked","1",665
,"2019","2019","Arizona","04","35-39 years","35-39","Unknown or Not Stated","9","None checked","1",50
,"2019","2019","Arizona","04","40-44 years","40-44","Underweight <18.5","1","None checked","1",40
,"2019","2019","Arizona","04","40-44 years","40-44","Normal 18.5-24.9","2","None checked","1",753
,"2019","2019","Arizona","04","40-44 years","40-44","Overweight 25.0-29.9","3","None checked","1",627
,"2019","2019","Arizona","04","40-44 years","40-44","Obesity I 30.0-34.9","4","None checked","1",448
,"2019","2019","Arizona","04","40-44 years","40-44","Obesity II 35.0-39.9","5","None checked","1",195
,"2019","2019","Arizona","04","40-44 years","40-44","Extreme Obesity III > 39.9","6","None checked","1",129
,"2019","2019","Arizona","04","45-49 years","45-49","Normal 18.5-24.9","2","None checked","1",61
,"2019","2019","Arizona","04","45-49 years","45-49","Overweight 25.0-29.9","3","None checked","1",41
,"2019","2019","Arizona","04","45-49 years","45-49","Obesity I 30.0-34.9","4","None checked","1",19
,"2019","2019","Arizona","04","45-49 years","45-49","Obesity II 35.0-39.9","5","None checked","1",10
,"2019","2019","Arkansas","05","Under 15 years","15","Normal 18.5-24.9","2","None checked","1",14
,"2019","2019","Arkansas","05","15-19 years","15-19","Underweight <18.5","1","None checked","1",179
,"2019","2019","Arkansas","05","15-19 years","15-19","Normal 18.5-24.9","2","At least one checked","0",22
,"2019","2019","Arkansas","05","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",1279
,"2019","2019","Arkansas","05","15-19 years","15-19","Overweight 25.0-29.9","3","At least one checked","0",11
,"2019","2019","Arkansas","05","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",682
,"2019","2019","Arkansas","05","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",372
,"2019","2019","Arkansas","05","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",172
,"2019","2019","Arkansas","05","15-19 years","15-19","Extreme Obesity III > 39.9","6","None checked","1",94
,"2019","2019","Arkansas","05","15-19 years","15-19","Unknown or Not Stated","9","None checked","1",63
,"2019","2019","Arkansas","05","20-24 years","20-24","Underweight <18.5","1","None checked","1",428
,"2019","2019","Arkansas","05","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",48
,"2019","2019","Arkansas","05","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",3632
,"2019","2019","Arkansas","05","20-24 years","20-24","Overweight 25.0-29.9","3","At least one checked","0",24
,"2019","2019","Arkansas","05","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",2447
,"2019","2019","Arkansas","05","20-24 years","20-24","Obesity I 30.0-34.9","4","At least one checked","0",11
,"2019","2019","Arkansas","05","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",1771
,"2019","2019","Arkansas","05","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",943
,"2019","2019","Arkansas","05","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",778
,"2019","2019","Arkansas","05","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",246
,"2019","2019","Arkansas","05","25-29 years","25-29","Underweight <18.5","1","None checked","1",290
,"2019","2019","Arkansas","05","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",51
,"2019","2019","Arkansas","05","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",3757
,"2019","2019","Arkansas","05","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",48
,"2019","2019","Arkansas","05","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",2830
,"2019","2019","Arkansas","05","25-29 years","25-29","Obesity I 30.0-34.9","4","At least one checked","0",16
,"2019","2019","Arkansas","05","25-29 years","25-29","Obesity I 30.0-34.9","4","None checked","1",1975
,"2019","2019","Arkansas","05","25-29 years","25-29","Obesity II 35.0-39.9","5","None checked","1",1122
,"2019","2019","Arkansas","05","25-29 years","25-29","Extreme Obesity III > 39.9","6","At least one checked","0",10
,"2019","2019","Arkansas","05","25-29 years","25-29","Extreme Obesity III > 39.9","6","None checked","1",1017
,"2019","2019","Arkansas","05","25-29 years","25-29","Unknown or Not Stated","9","None checked","1",194
,"2019","2019","Arkansas","05","30-34 years","30-34","Underweight <18.5","1","None checked","1",173
,"2019","2019","Arkansas","05","30-34 years","30-34","Normal 18.5-24.9","2","At least one checked","0",35
,"2019","2019","Arkansas","05","30-34 years","30-34","Normal 18.5-24.9","2","None checked","1",2664
,"2019","2019","Arkansas","05","30-34 years","30-34","Overweight 25.0-29.9","3","At least one checked","0",14
,"2019","2019","Arkansas","05","30-34 years","30-34","Overweight 25.0-29.9","3","None checked","1",2059
,"2019","2019","Arkansas","05","30-34 years","30-34","Obesity I 30.0-34.9","4","At least one checked","0",17
,"2019","2019","Arkansas","05","30-34 years","30-34","Obesity I 30.0-34.9","4","None checked","1",1367
,"2019","2019","Arkansas","05","30-34 years","30-34","Obesity II 35.0-39.9","5","None checked","1",760
,"2019","2019","Arkansas","05","30-34 years","30-34","Extreme Obesity III > 39.9","6","None checked","1",676
,"2019","2019","Arkansas","05","30-34 years","30-34","Unknown or Not Stated","9","None checked","1",147
,"2019","2019","Arkansas","05","35-39 years","35-39","Underweight <18.5","1","None checked","1",49
,"2019","2019","Arkansas","05","35-39 years","35-39","Normal 18.5-24.9","2","At least one checked","0",20
,"2019","2019","Arkansas","05","35-39 years","35-39","Normal 18.5-24.9","2","None checked","1",1044
,"2019","2019","Arkansas","05","35-39 years","35-39","Overweight 25.0-29.9","3","At least one checked","0",10
,"2019","2019","Arkansas","05","35-39 years","35-39","Overweight 25.0-29.9","3","None checked","1",893
,"2019","2019","Arkansas","05","35-39 years","35-39","Obesity I 30.0-34.9","4","None checked","1",652
,"2019","2019","Arkansas","05","35-39 years","35-39","Obesity II 35.0-39.9","5","None checked","1",334
,"2019","2019","Arkansas","05","35-39 years","35-39","Extreme Obesity III > 39.9","6","None checked","1",298
,"2019","2019","Arkansas","05","35-39 years","35-39","Unknown or Not Stated","9","None checked","1",84
,"2019","2019","Arkansas","05","40-44 years","40-44","Normal 18.5-24.9","2","None checked","1",164
,"2019","2019","Arkansas","05","40-44 years","40-44","Overweight 25.0-29.9","3","None checked","1",176
,"2019","2019","Arkansas","05","40-44 years","40-44","Obesity I 30.0-34.9","4","None checked","1",117
,"2019","2019","Arkansas","05","40-44 years","40-44","Obesity II 35.0-39.9","5","None checked","1",66
,"2019","2019","Arkansas","05","40-44 years","40-44","Extreme Obesity III > 39.9","6","None checked","1",59
,"2019","2019","Arkansas","05","40-44 years","40-44","Unknown or Not Stated","9","None checked","1",25
,"2019","2019","Arkansas","05","45-49 years","45-49","Overweight 25.0-29.9","3","None checked","1",10
,"2019","2019","California","06","Under 15 years","15","Underweight <18.5","1","None checked","1",12
,"2019","2019","California","06","Under 15 years","15","Normal 18.5-24.9","2","None checked","1",63
,"2019","2019","California","06","Under 15 years","15","Overweight 25.0-29.9","3","None checked","1",29
,"2019","2019","California","06","15-19 years","15-19","Underweight <18.5","1","At least one checked","0",11
,"2019","2019","California","06","15-19 years","15-19","Underweight <18.5","1","None checked","1",879
,"2019","2019","California","06","15-19 years","15-19","Normal 18.5-24.9","2","At least one checked","0",79
,"2019","2019","California","06","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",7167
,"2019","2019","California","06","15-19 years","15-19","Overweight 25.0-29.9","3","At least one checked","0",32
,"2019","2019","California","06","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",3783
,"2019","2019","California","06","15-19 years","15-19","Obesity I 30.0-34.9","4","At least one checked","0",10
,"2019","2019","California","06","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",1843
,"2019","2019","California","06","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",728
,"2019","2019","California","06","15-19 years","15-19","Extreme Obesity III > 39.9","6","None checked","1",299
,"2019","2019","California","06","15-19 years","15-19","Unknown or Not Stated","9","None checked","1",496
,"2019","2019","California","06","20-24 years","20-24","Underweight <18.5","1","At least one checked","0",30
,"2019","2019","California","06","20-24 years","20-24","Underweight <18.5","1","None checked","1",2599
,"2019","2019","California","06","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",269
,"2019","2019","California","06","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",25321
,"2019","2019","California","06","20-24 years","20-24","Normal 18.5-24.9","2","Unknown or Not Stated","9",19
,"2019","2019","California","06","20-24 years","20-24","Overweight 25.0-29.9","3","At least one checked","0",150
,"2019","2019","California","06","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",18244
,"2019","2019","California","06","20-24 years","20-24","Overweight 25.0-29.9","3","Unknown or Not Stated","9",10
,"2019","2019","California","06","20-24 years","20-24","Obesity I 30.0-34.9","4","At least one checked","0",89
,"2019","2019","California","06","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",10705
,"2019","2019","California","06","20-24 years","20-24","Obesity II 35.0-39.9","5","At least one checked","0",37
,"2019","2019","California","06","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",4828
,"2019","2019","California","06","20-24 years","20-24","Extreme Obesity III > 39.9","6","At least one checked","0",16
,"2019","2019","California","06","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",2795
,"2019","2019","California","06","20-24 years","20-24","Unknown or Not Stated","9","At least one checked","0",22
,"2019","2019","California","06","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",1634
,"2019","2019","California","06","20-24 years","20-24","Unknown or Not Stated","9","Unknown or Not Stated","9",13
,"2019","2019","California","06","25-29 years","25-29","Underweight <18.5","1","At least one checked","0",44
,"2019","2019","California","06","25-29 years","25-29","Underweight <18.5","1","None checked","1",3539
,"2019","2019","California","06","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",585
,"2019","2019","California","06","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",43265
,"2019","2019","California","06","25-29 years","25-29","Normal 18.5-24.9","2","Unknown or Not Stated","9",69
,"2019","2019","California","06","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",305
,"2019","2019","California","06","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",31493
,"2019","2019","California","06","25-29 years","25-29","Overweight 25.0-29.9","3","Unknown or Not Stated","9",26
,"2019","2019","California","06","25-29 years","25-29","Obesity I 30.0-34.9","4","At least one checked","0",135
,"2019","2019","California","06","25-29 years","25-29","Obesity I 30.0-34.9","4","None checked","1",19048
,"2019","2019","California","06","25-29 years","25-29","Obesity I 30.0-34.9","4","Unknown or Not Stated","9",12
,"2019","2019","California","06","25-29 years","25-29","Obesity II 35.0-39.9","5","At least one checked","0",63
,"2019","2019","California","06","25-29 years","25-29","Obesity II 35.0-39.9","5","None checked","1",9132
,"2019","2019","California","06","25-29 years","25-29","Extreme Obesity III > 39.9","6","At least one checked","0",36
,"2019","2019","California","06","25-29 years","25-29","Extreme Obesity III > 39.9","6","None checked","1",5537
,"2019","2019","California","06","25-29 years","25-29","Unknown or Not Stated","9","At least one checked","0",38
,"2019","2019","California","06","25-29 years","25-29","Unknown or Not Stated","9","None checked","1",2475
,"2019","2019","California","06","25-29 years","25-29","Unknown or Not Stated","9","Unknown or Not Stated","9",15
,"2019","2019","California","06","30-34 years","30-34","Underweight <18.5","1","At least one checked","0",66
